流水號,大類別,From,網址,created_time,post_type,postID,post_message,status_type,link,轉貼標題(name),留言數,按讚數,分享數,update_time,
24,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_915747275213308,8:30:41 AM,video,111103359011041_915747275213308,別小看工程師的籃球魂啊！,shared_story,https://www.facebook.com/22ThinkCreative/videos/1340501479308702/,22,18,1317,,3/28/2016 20:54,
130,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_897188770402492,10:50:00 PM,link,111103359011041_897188770402492,【希平方英文學堂】Brace! Brace! Brace!你知道這個機上英文是什麼意思嗎？看懂這些單字，機上搖身成為不求人！(...by #希小編)#內有彩蛋冷知識 #原來有這麼多生字 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/how-to-cope-with-a-fear-of-flying-2,搭機好煩惱，單字沒一個看得懂,6,449,237,3/7/2016 10:43,
84,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_904809516307084,10:50:01 PM,link,111103359011041_904809516307084,【職場英文】常常星期一早上到公司都要開會（（哭 有人可以告訴小編，如果在會議中有人叫我 Take the minutes，那是什麼意思呢？是要計時的意思嗎？😱😱😱（by #學海無編）#英文會議難不倒我 #這題有陷阱 #專欄教學,shared_story,https://www.hopenglish.com/a-video-conference-call-in-real-life-2,開國際會議時不再霧煞煞！必學實用會議英文,0,325,121,3/14/2016 22:50,
134,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_897850377002998,10:50:01 PM,link,111103359011041_897850377002998,【超實用文法】in， on， at 總是分不清楚嗎？考考大家，「我在希平方文法教室裡」要用哪一個介系詞呢？✨✨✨（by #學海無編）#以下開放搶答 #等等呢我在繽紛樂 #專欄教學,shared_story,https://www.hopenglish.com/10-places-to-travel-in-2016-2,in、at、on 總是搞不懂？一次告訴你！,3,272,136,3/8/2016 3:29,
61,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_906266512828051,10:50:01 PM,link,111103359011041_906266512828051,【旅遊英文】出國旅遊時，要點餐卻只能比手畫腳嗎？如果很餓想要薯條加大要怎麼說呢？🍟🍟🍟如何點餐一次教給你！(by #學海無編)#說到點餐肚子又餓了 #薯條怎麼能不加大呢 #專欄教學,shared_story,https://www.hopenglish.com/4-ways-to-order-at-a-restaurant-2,如何用英文點餐？4種簡單句型教給你！,1,250,94,3/20/2016 17:16,
60,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_907761132678589,9:20:00 AM,photo,111103359011041_907761132678589,各位學英文的朋友早安：)「換言之、也就是說」- In Other Words↓https://www.hopenglish.com/in-other-words-6關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/907761132678589/?type=3,Timeline Photos,1,235,25,3/21/2016 16:14,
17,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_916787661775936,10:35:36 AM,video,111103359011041_916787661775936,好真實的開賽秀啊！,shared_story,https://www.facebook.com/1424927337811617/videos/1529279334043083/,Omg Lmfao Lol Wtf Videos,2,218,,3/28/2016 14:57,
67,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_908008202653882,7:58:00 PM,link,111103359011041_908008202653882,【職場英文】寫履歷時還在用 Times New Roman 字體嗎？小心，面試官可能會以為你是 ________ 的人喔！(by #希小編 )#避開5大地雷字體 #職場無往不利 #精選影片,shared_story,https://www.hopenglish.com/how-to-know-the-fonts-to-never-use,「想給人好印象？絕對別用這五種字體」- How to Know the Fonts to Never Use,0,202,82,3/18/2016 19:58,
44,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_911651652289537,9:20:01 AM,photo,111103359011041_911651652289537,各位學英文的朋友早安：)「簡而言之、總之」- In Short↓https://www.hopenglish.com/in-short-2關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/911651652289537/?type=3,Timeline Photos,2,199,20,3/24/2016 9:15,
86,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_904638199657549,12:20:00 PM,photo,111103359011041_904638199657549,大量使用片語才是老外真正的說話方式↓「較量、接受(挑戰)」- Take On↓https://www.hopenglish.com/take-on-5關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/904638199657549/?type=3,Timeline Photos,3,193,18,3/15/2016 19:41,
111,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_897149323739770,10:50:00 PM,link,111103359011041_897149323739770,_x0008_【希平方英文學堂】小編今天來考考大家，「九分之四」的英文要怎麼說呢？(...by #希小編)#那四分之一呢 #二分之一也會嗎 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/daylight-saving-time-explaine,數字人人會說，但幾分之幾你知道怎麼表達嗎？,0,181,53,3/9/2016 0:13,
22,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_913875265400509,12:20:01 PM,photo,111103359011041_913875265400509,大量使用片語才是老外真正的說話方式↓「簡而言之」- Put Simply↓https://www.hopenglish.com/put-simply關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/913875265400509/?type=3,Timeline Photos,1,178,19,3/28/2016 15:29,
142,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_897123193742383,9:20:01 AM,photo,111103359011041_897123193742383,各位學英文的朋友早安：)「要求某人履行某事」- Hold One To Something↓https://www.hopenglish.com/hold-one-to-something關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/897123193742383/?type=3,Timeline Photos,1,175,17,3/4/2016 11:59,
14,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_917301515057884,11:26:54 PM,link,111103359011041_917301515057884,今天相信很多粉絲和小編一樣心情都很低落 😢😢 ，甚至是憤怒又無奈的感覺！同樣都是安慰，你付出的是「同理心」還是「同情心」？同理心能激發人與人之間的情感連結，但同情心卻只會讓雙方更加疏遠。(by #安小編) #這社會病了酸了覺得心好痛 #專欄教學,shared_story,https://www.hopenglish.com/empathy,【實用英文】同情心還是同理心？,2,174,19,3/28/2016 23:26,
118,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_900070703447632,12:20:00 PM,photo,111103359011041_900070703447632,大量使用片語才是老外真正的說話方式↓「直接從可靠來源得來的」- Straight From The Horse's Mouth↓https://www.hopenglish.com/straight-from-the-horses-mouth關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/900070703447632/?type=3,Timeline Photos,2,172,17,3/10/2016 9:33,
29,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_911693935618642,10:50:00 PM,link,111103359011041_911693935618642,【希平方英文學堂】還記得有一次出國 #希小編 有機會到一家高級餐廳用餐，結果看著菜單卻不知道從何點起，瞬間好想找個地洞鑽下去....如果當時知道這些用詞，就不怕出糗啦！  B|  B|  B| #套餐英文是什麼 #單點英文又是什麼 #混合套餐呢 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/tims-place-where-breakfast-lunch-and-hugs-are-served-2,國外用餐好麻煩？一次看懂英文菜單！,0,168,64,3/25/2016 22:50,
59,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_907763856011650,12:20:01 PM,photo,111103359011041_907763856011650,大量使用片語才是老外真正的說話方式↓「不再」- No Longer↓https://www.hopenglish.com/no-longer-7關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/907763856011650/?type=3,Timeline Photos,2,165,14,3/21/2016 16:01,
32,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_911810398940329,9:20:01 AM,photo,111103359011041_911810398940329,各位學英文的朋友早安：)「每一個」- Every Last↓https://www.hopenglish.com/every-last和 every 意思相同，但想要更加強語氣時就可以用 every last 喔～,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/911810398940329/?type=3,Timeline Photos,1,154,20,3/28/2016 15:31,
102,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_901976569923712,10:50:00 PM,link,111103359011041_901976569923712,【生活英文】廚房用具英文又快到吃宵夜的時間了！有人像小編一樣默默往廚房移動了嗎？😼😼😼粉絲可以告訴小編煮泡麵要用 pan 還是 pot 呢？（by #學海無編）#一日五餐 #宵夜吃泡麵最好 #以下開放搶答 #專欄教學,shared_story,https://www.hopenglish.com/new-years-eve-party-food-ideas-2,廚房用具大解密！鍋碗瓢盆的英文怎麼說呢？,0,154,77,3/10/2016 22:50,
88,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_901359696652066,10:50:00 PM,link,111103359011041_901359696652066,【希平方英文學堂】每到週末就是要來考考粉絲們的時候啦！你知道Hotel與Hostel的區別嗎？知道？那.......膠囊旅館呢？(...by #蓋小編)#上網訂房時一定要注意看清楚 #才不會訂錯房 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/how-to-airbnb-2,出國訂房不用怕！飯店類型大集合,0,146,35,3/13/2016 22:50,
79,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_904810076307028,10:50:14 PM,link,111103359011041_904810076307028,【時事英文】最近天氣實在是多變化~ ☔☔☔大家要小心不要感冒啦！粉絲們知道在氣候變遷的影響之下，有什麼議題是需要大家一起去關心的嗎？一起來看看吧！ （by #學海無編）#小編好討厭下雨 #今年冬天實在太冷啦 #關心地球人人有責 #專欄教學,shared_story,https://www.hopenglish.com/leonardo-dicaprios-winning-speech-for-best-actor-oscar-2,大家都在關心這個！不可不知的氣候變遷議題,1,145,40,3/16/2016 13:00,
145,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_896720170449352,7:59:00 PM,link,111103359011041_896720170449352,【時事英文】已經和小金人錯過五次的李奧納多~終於得到小金人啦！！！ 不過他的得獎感言讓 #安小編 太感動了~新科影帝的格局果然不一樣！😍😍 #回家竟然發現陀螺還在轉 #小金人 #神鬼獵人 #全世界都期待他得獎 #精選影片,shared_story,https://www.hopenglish.com/leonardo-dicaprios-winning-speech-for-best-actor-oscar,「終於等到這一刻！李奧納多 2016 奧斯卡得獎感言」- Leonardo DiCaprio's Winning Speech for Best Actor,0,143,30,3/1/2016 21:04,
52,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_910206515767384,10:50:00 PM,link,111103359011041_910206515767384,【實用英文】週一動起來！以下開放搶答🙋🙋🙋Everyone in the office seems so ____________ on Monday.（辦公室裡的每個人在星期一看起來都好沮喪）1. Depressed 2. Gloomy 3. Anxious 4. Frightened快點進來找答案⬇⬇⬇⬇⬇(by #學海無編） #專欄教學,shared_story,https://www.hopenglish.com/facebook-finally-has-emoji-reactions-2,翻臉比翻書快！學會表達你的各種情緒,4,141,63,3/23/2016 9:26,
98,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_901950919926277,10:50:00 PM,link,111103359011041_901950919926277,【希平方英文學堂】今天 #希小編 要來問問各位粉絲，BFF是什麼的縮寫呢？你以為是Boyfriend嗎？那就大錯特錯啦！#有一次差點誤會 #不是交男朋友了別緊張 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/types-of-relatives-2,朋友除了 Friend 還可以怎麼說？,0,140,41,3/11/2016 22:50,
140,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_897310110390358,7:58:00 PM,link,111103359011041_897310110390358,【希平方文法殿堂】動詞+名詞=動名詞!?這樣是對的嗎？小編剛開始學英文的時候常容易搞混呢！快跟緊我們的腳步一起輕鬆認識動名詞吧！ 😎😎😎 (...by #法力無編)#輕鬆六步驟 #搞懂動名詞 #超詳細講解 #精選影片★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/6-ways-to-use-gerunds,「文法好簡單：動名詞這樣用就對了！」- 6 Ways to Use Gerunds,1,140,60,3/4/2016 18:02,
89,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_901809056607130,7:58:01 PM,link,111103359011041_901809056607130,【希平方文法殿堂】及物動詞？不及物動詞？你知道如何辨別這兩者的差異嗎？(...by #蓋小編)#文法輕鬆一把罩 #文法殿堂讓你更上一層樓 #精選影片★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/transitive-and-intransitive-verbs,「文法好簡單！及物動詞、不及物動詞怎麼分？」- Transitive and Intransitive Verbs,1,136,57,3/13/2016 22:24,
66,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_906254436162592,10:50:01 PM,link,111103359011041_906254436162592,【希平方英文學堂】今天 #希小編 在迎接週末前的夜晚要來考考各位粉絲啦！又長又粗又像棍子的法國麵包要怎麼說？France Bread? French Toast?以上都是錯誤的說法唷！( ´ ▽ ` )ﾉ#FrenchToast是法國吐司 #那法國麵包呢 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/white-bread-vs-brown-bread-which-is-better-for-you-2,會吃但會說嗎？麵包種類知多少！,0,129,51,3/18/2016 22:50,
39,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_912638485524187,3:00:00 AM,link,111103359011041_912638485524187,,,https://www.facebook.com/111103359011041/posts/912638485524187/,粉絲人數破36萬！！,0,125,1,3/24/2016 3:00,
120,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_897745913680111,10:50:00 PM,link,111103359011041_897745913680111,【希平方英文學堂】雖然今天是週末日，但 #蓋小編 還是要來考考各位粉絲啦！「小」的英文要怎麼說？Small，是不是很簡單！那...超級無敵世界霹靂瘋狂又難以置信的小要怎麼說呢？Σ（ﾟдﾟlll）#真的有比small還要small的英文說法 #你一定不知道 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/how-to-make-minions-3,比小還要小？真的有這個單字！,0,114,25,3/6/2016 22:50,
30,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_913955438725825,7:58:00 PM,link,111103359011041_913955438725825,【咖啡英文】最近一直下雨，小編都要發霉了~ 😰😰 來喝杯熱騰騰的咖啡吧！(by #希小編)#不要再下雨啦 #喝咖啡學英文 #精選影片,shared_story,https://www.hopenglish.com/worlds-youngest-barista,「超萌小小咖啡師」- World's Youngest Barista,0,113,14,3/25/2016 19:58,
70,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_907136849407684,10:50:01 PM,link,111103359011041_907136849407684,【實用英文單字】一天到晚都聽到有人在說「不准這個」、「不准那個」，那「不准」或「不允許」到底要用哪個單字呢？小編絕對不會告訴你答案就在圖片裡的👇👇👇(by #學海無編)#專欄教學,shared_story,https://www.hopenglish.com/maria-sharapova-fails-drug-test-2,禁止除了 Don’t 還能怎麼說呢？,2,112,35,3/18/2016 22:35,
107,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_901368206651215,10:50:00 PM,link,111103359011041_901368206651215,【希平方英文學堂】上次「小」的說法反應熱烈，小編今天趕緊再來考考大家：「大」的英文，除了Big、Large、Huge以外，如果要形容「大到無法置信又可怕的大」，要怎麼說呢？( ´ ▽ ` )ﾉ (...by #法力無編)#這篇實用性爆表 #告別單調BIG用法 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/naked-science-massive-solar-storms-2,比大還要更大！真的有這個字！,0,112,29,3/9/2016 22:50,
65,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_907760096012026,9:20:00 AM,photo,111103359011041_907760096012026,各位學英文的朋友早安：)「許多、大量」- Tons Of↓https://www.hopenglish.com/tons-of關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/907760096012026/?type=3,Timeline Photos,1,108,14,3/21/2016 16:15,
75,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_906034156184620,10:50:00 PM,link,111103359011041_906034156184620,【希平方英文學堂】Watch out! Watch out!什麼？是看哪裡的意思嗎？別誤會免得出糗啦！小編今天來考考各位，小心除了Be careful外，還能怎麼說呢？(...by #法力無編)#英文說法知多少 #小心 #注意 #專欄教學★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓,shared_story,https://www.hopenglish.com/emergency-spare-key-2,小心！小心駛得萬年船！,0,104,31,3/16/2016 22:50,
143,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_896729030448466,10:50:00 PM,link,111103359011041_896729030448466,【英文俚語】相信大家都知道 pig 這個單字，但你說的出來幾個 pig 的英文俚語呢？😤😤 (by #安小編)#沒那麼簡單 #英文俚語系列 #專欄教學,shared_story,https://www.hopenglish.com/pig-idioms-2,看影片學小豬俚語,0,103,30,3/1/2016 22:50,
85,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_904809096307126,7:58:00 PM,link,111103359011041_904809096307126,【生活哲理】雖然小編很敗家常亂花錢，但如果把錢花在買一本好書或是一次旅遊，往往事後不會覺得那麼心疼，因為買到的回憶跟閱歷會陪著我一輩子，所以覺得很划算😏😏😏粉絲們覺得呢？（by #學海無編）#藍色星期一就是要來點哲理 #錢要花在刀口上 #精選影片,shared_story,https://www.hopenglish.com/spend-money-on-experiences-not-things,「快樂人生的關鍵：把錢投資在『閱歷』上」- Spend Money on Experiences Not Things,1,94,15,3/15/2016 9:08,
12,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_917875045000531,12:20:00 PM,photo,111103359011041_917875045000531,大量使用片語才是老外真正的說話方式↓「首先、作為開頭」- For Starters↓https://www.hopenglish.com/for-starters-2關注希平方，天天學到超實用片語！,added_photos,https://www.facebook.com/youtubelearn/photos/a.139240742863969.26508.111103359011041/917875045000531/?type=3,Timeline Photos,1,90,13,3/30/2016 12:03,
76,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_906219242832778,7:58:00 PM,link,111103359011041_906219242832778,【希平方常識殿堂】「土壤液化」最近每天博得新聞版面，尤其昨天開放民眾可以線上查詢自己居住的地方是否屬於液化區。今天小編要來分享相關資訊，讓各位粉絲在學習英文的同時也可以補充常識唷！(...by #法力無編)#英文與常識一舉兩得 #土壤液化 #知多少 #精選影片★設定搶先看，讓英文持續攻其不背★快一起來補充常識吧↓↓↓,shared_story,https://www.hopenglish.com/what-happened-to-this-car,「兩分鐘動畫帶你了解『土壤液化』」- 你住的安全嗎？,0,88,31,3/16/2016 19:58,
93,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_901413796646656,10:50:01 PM,link,111103359011041_901413796646656,【實用生活英文】假日你出去玩了嗎？在美國生活過的朋友常跟小編說，在美國沒有車就跟沒有腳一樣，所以租車在美國是非常常見的噢！學會租車會話，就可以通行無阻！🚗🚗🚗（#by學海無編）#租車時要有禮貌 #美國好大好大 #專欄教學,shared_story,https://www.hopenglish.com/daniel-craig-reveals-a-mind-blowing-scene-from-spectre-2,看搞笑 007 影片學租車會話,0,88,27,3/12/2016 22:50,
33,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_912965532158149,10:50:00 PM,link,111103359011041_912965532158149,【生活英文】大家是不是都跟小編一樣，小時候想趕快長大，長大後又想變回小孩呢？👶👶👶來分享一下大家目前都在人生中的哪個階段呢？（by #學海無編）#專欄教學,shared_story,https://www.hopenglish.com/celebrate-the-changes-2?ref=category,嬰兒/青少年/成年/老人？人生各階段英文,0,87,38,3/24/2016 22:50,
40,post,看YouTube輕鬆學英文 - 希平方(111103359011041),http://www.facebook.com/111103359011041_911687228952646,10:50:00 PM,link,111103359011041_911687228952646,"【希平方英文學堂】今天除了教大家常見感冒如何說以外，還要要來考考粉絲們，在國外常常會聽到有人說：""Catch a bug""你知道是什麼意思嗎？可不是抓到一隻蟲的意思喔！(￣▽￣)  (...by #法力無編)#I_have_a_cold不足以形容 #內有模擬對話 #專欄教序★設定搶先看，讓英文持續攻其不背★快一起來看看解答吧↓↓↓",shared_story,https://www.hopenglish.com/how-to-prevent-the-flu-2,常見感冒大集合！,0,86,23,3/23/2016 22:50,
